	review	tastereview	tastep_or_n	servicereview	servicep_or_n
0	가성비 갑! 맛도 최고!! <br/>사장님 친절!	1	1	0	0
1	사장님 너무좋아요 화이팅넘치시고!!<br/>점심맛있게잘먹었습니다^^	0	0	1	0
